"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
80,76.2939453125
82.6438599635144,85.8306884765625
85.3750948708623,85.8306884765625
88.1965923109912,85.8306884765625
91.1113353026091,95.367431640625
94.1224054479705,95.367431640625
97.2329861908899,95.367431640625
100.446366182428,104.904174804687
103.765942757806,104.904174804687
107.195225528227,104.904174804687
110.737840091402,114.44091796875
114.397531864698,114.44091796875
118.178170044972,114.44091796875
122.083751699264,123.977661132812
126.11840599068,123.977661132812
130.286398543943,133.514404296875
134.592135955203,133.514404296875
139.040170450901,143.051147460938
143.635204700593,143.051147460938
148.382096788832,152.587890625
153.285865351361,152.587890625
158.35169488105,162.124633789062
163.584941209183,162.124633789062
168.991137167893,171.661376953125
174.57599843973,171.661376953125
180.345429600547,181.198120117187
186.305530362093,190.73486328125
192.462602020914,190.73486328125
198.823154120375,200.271606445312
205.393911332857,209.808349609375
212.181820569389,209.808349609375
219.194058324252,219.345092773438
226.438038262298,228.8818359375
233.921419057029,238.418579101563
241.652112487696,238.418579101563
249.638291804007,247.955322265625
257.888400367266,257.492065429687
266.411160577088,267.02880859375
275.215583093128,276.565551757813
284.310976361568,286.102294921875
293.706956456444,295.639038085937
303.413457246204,305.17578125
313.440740896264,314.712524414063
323.799408718638,324.249267578125
334.500412380148,333.786010742187
345.555065481035,343.32275390625
356.975055516221,352.859497070313
368.77245623188,371.932983398438
380.959740390359,381.4697265625
393.54979295697,391.006469726562
406.555924722574,410.079956054688
419.991886376369,419.61669921875
433.871883043761,429.153442382812
448.210589304687,448.226928710938
463.02316470826,467.300415039062
478.325269800159,476.837158203125
494.133082679682,495.91064453125
510.463316103992,514.984130859375
527.333235157618,524.520874023438
544.760675505915,543.594360351563
562.764062251755,562.667846679687
581.362429415407,581.741333007813
600.575440058192,600.814819335938
620.423407071191,619.888305664062
640.927314650975,638.961730957031
662.108840485082,658.035278320313
683.990378670675,686.6455078125
706.595063390631,705.718994140625
729.946793372074,734.329223632813
754.070257153225,753.402648925781
778.990959185281,782.012939453125
804.735246796902,801.08642578125
831.330338049842,829.696594238281
858.804350515153,858.306884765625
887.18633100039,886.917114257812
916.506286259255,915.52734375
946.795214716132,944.137512207031
978.085139239069,982.284484863281
1010.40914099585,1010.89477539062
1043.80139442895,1039.50500488281
1078.29720338634,1077.65197753906
1113.93303844637,1115.79895019531
1150.74657547618,1153.94592285156
1188.77673546434,1192.09289550781
1228.06372566998,1230.23986816406
1268.64908213177,1268.38684082031
1310.57571358174,1306.53381347656
1353.88794681041,1354.21740722656
1398.63157353112,1401.90124511719
1444.85389879319,1449.5849609375
1492.60379099503,1497.26867675781
1541.93173355005,1544.95239257812
1592.88987826012,1592.63610839844
1645.53210045286,1649.85656738281
1699.91405594117,1697.54028320312
1756.09323986515,1754.7607421875
1814.12904747862,1811.98107910156
1874.08283694459,1878.73840332031
1936.01799420593,1935.95886230469
1999.99999999998,2002.71606445312

"Sweep - Function 2" 
"Phase vs Frequency"
"X (Hz)","Ch-1 (deg)"
80,74.8607482910156
82.6438599635144,72.8456192016602
85.3750948708623,72.0974578857422
88.1965923109912,71.3341217041016
91.1113353026091,70.5563354492188
94.1224054479705,69.7773132324219
97.2329861908899,68.9381790161133
100.446366182428,68.0746002197266
103.765942757806,67.1715698242188
107.195225528227,66.2173538208008
110.737840091402,65.4293594360352
114.397531864698,64.2467041015625
118.178170044972,63.2653732299805
122.083751699264,62.2194061279297
126.11840599068,60.9478912353516
130.286398543943,59.8477249145508
134.592135955203,58.5465888977051
139.040170450901,57.1657485961914
143.635204700593,55.8078689575195
148.382096788832,54.4041519165039
153.285865351361,52.6329956054688
158.35169488105,50.966926574707
163.584941209183,49.1209106445312
168.991137167893,47.0991744995117
174.57599843973,44.9444618225098
180.345429600547,42.6186943054199
186.305530362093,40.0775375366211
192.462602020914,37.2788848876953
198.823154120375,34.1765441894531
205.393911332857,30.7654514312744
212.181820569389,26.9785404205322
219.194058324252,22.756965637207
226.438038262298,18.0450134277344
233.921419057029,12.7811889648438
241.652112487696,6.9070930480957
249.638291804007,0.414169311523438
257.888400367266,-6.69935607910156
266.411160577088,-14.3302421569824
275.215583093128,-22.3549270629883
284.310976361568,-30.5556640625
293.706956456444,-38.6972351074219
303.413457246204,-46.5541915893555
313.440740896264,-53.9566345214844
323.799408718638,-60.7988891601563
334.500412380148,-67.0415802001953
345.555065481035,-72.6944122314453
356.975055516221,-77.8269348144531
368.77245623188,-82.4139404296875
380.959740390359,-86.5973510742187
393.54979295697,-90.4020690917969
406.555924722574,-93.9090118408203
419.991886376369,-97.0904159545898
433.871883043761,-100.080871582031
448.210589304687,-102.842124938965
463.02316470826,-105.425354003906
478.325269800159,-107.831588745117
494.133082679682,-110.149658203125
510.463316103992,-112.32682800293
527.333235157618,-114.400299072266
544.760675505915,-116.382339477539
562.764062251755,-118.278503417969
581.362429415407,-120.101776123047
600.575440058192,-121.857391357422
620.423407071191,-123.549163818359
640.927314650975,-125.167999267578
662.108840485082,-126.748008728027
683.990378670675,-128.309265136719
706.595063390631,-129.799682617187
729.946793372074,-131.246795654297
754.070257153225,-132.652984619141
778.990959185281,-133.9970703125
804.735246796902,-135.351028442383
831.330338049842,-136.646255493164
858.804350515153,-137.882598876953
887.18633100039,-139.133392333984
916.506286259255,-140.30712890625
946.795214716132,-141.494674682617
978.085139239069,-142.631195068359
1010.40914099585,-143.715408325195
1043.80139442895,-144.818450927734
1078.29720338634,-145.871215820312
1113.93303844637,-146.897201538086
1150.74657547618,-147.898086547852
1188.77673546434,-148.875747680664
1228.06372566998,-149.840927124023
1268.64908213177,-150.812103271484
1310.57571358174,-151.757476806641
1353.88794681041,-152.642990112305
1398.63157353112,-153.515563964844
1444.85389879319,-154.362365722656
1492.60379099503,-155.185211181641
1541.93173355005,-155.985168457031
1592.88987826012,-156.763290405273
1645.53210045286,-157.496337890625
1699.91405594117,-158.255920410156
1756.09323986515,-158.948699951172
1814.12904747862,-159.667846679687
1874.08283694459,-160.3447265625
1936.01799420593,-161.00325012207
1999.99999999998,-161.643035888672

